full_name,relative_url
20 MICRONS LTD,https://www.upstox.com/stocks/20-microns-ltd-share-price/INE144J01027/
21ST CENTURY MGMT SERVICE,https://www.upstox.com/stocks/21st-century-mgmt-service-share-price/INE253B01015/
360 ONE WAM LIMITED,https://www.upstox.com/stocks/360-one-wam-limited-share-price/INE466L01038/
3I INFOTECH LIMITED,https://www.upstox.com/stocks/3i-infotech-limited-share-price/INE748C01038/
3M INDIA LIMITED,https://www.upstox.com/stocks/3m-india-limited-share-price/INE470A01017/
3P LAND HOLDINGS LIMITED,https://www.upstox.com/stocks/3p-land-holdings-limited-share-price/INE105C01023/
5PAISA CAPITAL LIMITED,https://www.upstox.com/stocks/5paisa-capital-limited-share-price/INE618L01018/
63 MOONS TECHNOLOGIES LTD,https://www.upstox.com/stocks/63-moons-technologies-ltd-share-price/INE111B01023/
A2Z INFRA ENGINEERING LTD,https://www.upstox.com/stocks/a2z-infra-engineering-ltd-share-price/INE619I01012/
AAA TECHNOLOGIES LIMITED,https://www.upstox.com/stocks/aaa-technologies-limited-share-price/INE0D0U01013/
AADHAR HOUSING FINANCE L,https://www.upstox.com/stocks/aadhar-housing-finance-l-share-price/INE883F01010/
AAKASH EXPLORATION SER L,https://www.upstox.com/stocks/aakash-exploration-ser-l-share-price/INE087Z01024/
AAREY DRUGS & PHARM LTD,https://www.upstox.com/stocks/aarey-drugs-pharm-ltd-share-price/INE198H01019/
AARON INDUSTRIES LIMITED,https://www.upstox.com/stocks/aaron-industries-limited-share-price/INE721Z01010/
AARTECH SOLONICS LIMITED,https://www.upstox.com/stocks/aartech-solonics-limited-share-price/INE01C001026/
AARTI DRUGS LTD.,https://www.upstox.com/stocks/aarti-drugs-ltd-share-price/INE767A01016/
AARTI INDUSTRIES LTD,https://www.upstox.com/stocks/aarti-industries-ltd-share-price/INE769A01020/
AARTI PHARMALABS LIMITED,https://www.upstox.com/stocks/aarti-pharmalabs-limited-share-price/INE0LRU01027/
AARTI SURFACTANTS LIMITED,https://www.upstox.com/stocks/aarti-surfactants-limited-share-price/INE09EO01013/
AARVEE DEN. & EXP. LTD,https://www.upstox.com/stocks/aarvee-den-exp-ltd-share-price/INE273D01019/
AARVI ENCON LIMITED,https://www.upstox.com/stocks/aarvi-encon-limited-share-price/INE754X01016/
AATMAJ HEALTHCARE LIMITED,https://www.upstox.com/stocks/aatmaj-healthcare-limited-share-price/INE0OB201016/
AAVAS FINANCIERS LIMITED,https://www.upstox.com/stocks/aavas-financiers-limited-share-price/INE216P01012/
ABAN OFFSHORE LTD.,https://www.upstox.com/stocks/aban-offshore-ltd-share-price/INE421A01028/
ABB INDIA LIMITED,https://www.upstox.com/stocks/abb-india-limited-share-price/INE117A01022/
ABBOTT INDIA LIMITED,https://www.upstox.com/stocks/abbott-india-limited-share-price/INE358A01014/
ADITYA BIRLA CAPITAL LTD.,https://www.upstox.com/stocks/aditya-birla-capital-ltd-share-price/INE674K01013/
ALLIED BLEND N DISTILS L,https://www.upstox.com/stocks/allied-blend-n-distils-l-share-price/INE552Z01027/
ADITYA BIRLA FASHION & RT,https://www.upstox.com/stocks/aditya-birla-fashion-rt-share-price/INE647O01011/
BIRLASLAMC - ABGSEC,https://www.upstox.com/stocks/birlaslamc-abgsec-share-price/INF209KC1134/
A B INFRABUILD LIMITED,https://www.upstox.com/stocks/a-b-infrabuild-limited-share-price/INE00YB01017/
ABM INTERNATIONAL LTD,https://www.upstox.com/stocks/abm-international-ltd-share-price/INE251C01025/
ADITYA BIRLA REAL EST LTD,https://www.upstox.com/stocks/aditya-birla-real-est-ltd-share-price/INE055A01016/
ADIT BIRL SUN LIF AMC LTD,https://www.upstox.com/stocks/adit-birl-sun-lif-amc-ltd-share-price/INE404A01024/
BIRLASLAMC - ABSLBANETF,https://www.upstox.com/stocks/birlaslamc-abslbanetf-share-price/INF209KB17D5/
BIRLASLAMC - ABSLLIQUID,https://www.upstox.com/stocks/birlaslamc-abslliquid-share-price/INF209KB18T9/
BIRLASLAMC - ABSLNN50ET,https://www.upstox.com/stocks/birlaslamc-abslnn50et-share-price/INF209KB16D7/
BIRLASLAMC-ABSLPSE,https://www.upstox.com/stocks/birlaslamc-abslpse-share-price/INF209KB19Z4/
ABS MARINE SERVICES LTD,https://www.upstox.com/stocks/abs-marine-services-ltd-share-price/INE0QRV01016/
ACC LIMITED,https://www.upstox.com/stocks/acc-limited-share-price/INE012A01025/
ACCELYA SOLN INDIA LTD,https://www.upstox.com/stocks/accelya-soln-india-ltd-share-price/INE793A01012/
ACCENT MICROCELL LIMITED,https://www.upstox.com/stocks/accent-microcell-limited-share-price/INE0Q5D01013/
ACCORD SYNERGY LIMITED,https://www.upstox.com/stocks/accord-synergy-limited-share-price/INE113X01015/
ACCURACY SHIPPING LIMITED,https://www.upstox.com/stocks/accuracy-shipping-limited-share-price/INE648Z01023/
ACTION CONST EQUIP LTD,https://www.upstox.com/stocks/action-const-equip-ltd-share-price/INE731H01025/
ACE INTEGRATED SOLU. LTD.,https://www.upstox.com/stocks/ace-integrated-solu-ltd-share-price/INE543V01017/
ARCHEAN CHEMICAL IND LTD,https://www.upstox.com/stocks/archean-chemical-ind-ltd-share-price/INE128X01021/
ANDHRA CEMENTS LIMITED,https://www.upstox.com/stocks/andhra-cements-limited-share-price/INE666E01020/
ALLCARGO GATI LIMITED,https://www.upstox.com/stocks/allcargo-gati-limited-share-price/INE152B01027/
ACME SOLAR HOLDINGS LTD,https://www.upstox.com/stocks/acme-solar-holdings-ltd-share-price/INE622W01025/
ADANI ENERGY SOLUTION LTD,https://www.upstox.com/stocks/adani-energy-solution-ltd-share-price/INE931S01010/
ADANI ENTERPRISES LIMITED,https://www.upstox.com/stocks/adani-enterprises-limited-share-price/INE423A01024/
ADANI GREEN ENERGY LTD,https://www.upstox.com/stocks/adani-green-energy-ltd-share-price/INE364U01010/
ADANI PORT & SEZ LTD,https://www.upstox.com/stocks/adani-port-sez-ltd-share-price/INE742F01042/
ADANI POWER LTD,https://www.upstox.com/stocks/adani-power-ltd-share-price/INE814H01011/
ADF FOODS LIMITED,https://www.upstox.com/stocks/adf-foods-limited-share-price/INE982B01027/
ARCHIDPLY DECOR LIMITED,https://www.upstox.com/stocks/archidply-decor-limited-share-price/INE0CHO01012/
ADOR WELDING LTD,https://www.upstox.com/stocks/ador-welding-ltd-share-price/INE045A01017/
ADROIT INFOTECH LIMITED,https://www.upstox.com/stocks/adroit-infotech-limited-share-price/INE737B01033/
ALLIED DIGITAL SERV. LTD,https://www.upstox.com/stocks/allied-digital-serv-ltd-share-price/INE102I01027/
ADVANI HOT.& RES.(I) LTD,https://www.upstox.com/stocks/advani-hot-res-i-ltd-share-price/INE199C01026/
ADVANCED ENZYME TECH LTD,https://www.upstox.com/stocks/advanced-enzyme-tech-ltd-share-price/INE837H01020/
AEGIS LOGISTICS LIMITED,https://www.upstox.com/stocks/aegis-logistics-limited-share-price/INE208C01025/
AEROFLEX INDUSTRIES LTD,https://www.upstox.com/stocks/aeroflex-industries-ltd-share-price/INE024001021/
AERON COMPOSITE LIMITED,https://www.upstox.com/stocks/aeron-composite-limited-share-price/INE0WL801011/
AESTHETIK ENGINEERS LTD,https://www.upstox.com/stocks/aesthetik-engineers-ltd-share-price/INE0TSF01011/
AETHER INDUSTRIES LIMITED,https://www.upstox.com/stocks/aether-industries-limited-share-price/INE0BWX01014/
AFCONS INFRASTRUCTURE LTD,https://www.upstox.com/stocks/afcons-infrastructure-ltd-share-price/INE101I01011/
AFFLE (INDIA) LIMITED,https://www.upstox.com/stocks/affle-india-limited-share-price/INE00WC01027/
AFFORD ROBO & AUTO LTD,https://www.upstox.com/stocks/afford-robo-auto-ltd-share-price/INE692Z01013/
AKME FINTRADE (INDIA) LTD,https://www.upstox.com/stocks/akme-fintrade-india-ltd-share-price/INE916Y01019/
AGARWAL INDS CORP LTD.,https://www.upstox.com/stocks/agarwal-inds-corp-ltd-share-price/INE204E01012/
AGARWAL FLOAT GLASS I LTD,https://www.upstox.com/stocks/agarwal-float-glass-i-ltd-share-price/INE0MLA01012/
AGARWAL TOUGH GLASS IND L,https://www.upstox.com/stocks/agarwal-tough-glass-ind-l-share-price/INE0P8X01016/
AGI GREENPAC LIMITED,https://www.upstox.com/stocks/agi-greenpac-limited-share-price/INE415A01038/
AGI INFRA LIMITED,https://www.upstox.com/stocks/agi-infra-limited-share-price/INE976R01017/
AGNI GREEN POWER LTD,https://www.upstox.com/stocks/agni-green-power-ltd-share-price/INE0LF301013/
AGRI-TECH (INDIA) LIMITED,https://www.upstox.com/stocks/agri-tech-india-limited-share-price/INE449G01018/
AGRO PHOS INDIA LIMITED,https://www.upstox.com/stocks/agro-phos-india-limited-share-price/INE740V01019/
AGS TRANSACT TECH LTD,https://www.upstox.com/stocks/ags-transact-tech-ltd-share-price/INE583L01014/
A G UNIVERSAL LIMITED,https://www.upstox.com/stocks/a-g-universal-limited-share-price/INE0O6N01012/
ABANS HOLDINGS LIMITED,https://www.upstox.com/stocks/abans-holdings-limited-share-price/INE00ZE01026/
AHLADA ENGINEERS LIMITED,https://www.upstox.com/stocks/ahlada-engineers-limited-share-price/INE00PV01013/
ASIAN HOTELS (EAST) LTD,https://www.upstox.com/stocks/asian-hotels-east-ltd-share-price/INE926K01017/
AHLUWALIA CONT IND LTD,https://www.upstox.com/stocks/ahluwalia-cont-ind-ltd-share-price/INE758C01029/
AIA ENGINEERING LIMITED,https://www.upstox.com/stocks/aia-engineering-limited-share-price/INE212H01026/
AUTHUM INVEST & INFRA LTD,https://www.upstox.com/stocks/authum-invest-infra-ltd-share-price/INE206F01022/
AIRAN LIMITED,https://www.upstox.com/stocks/airan-limited-share-price/INE645W01026/
AIRO LAM LIMITED,https://www.upstox.com/stocks/airo-lam-limited-share-price/INE801L01010/
AJANTA PHARMA LIMITED,https://www.upstox.com/stocks/ajanta-pharma-limited-share-price/INE031B01049/
AJMERA REALTY & INF I LTD,https://www.upstox.com/stocks/ajmera-realty-inf-i-ltd-share-price/INE298G01027/
AJOONI BIOTECH LIMITED,https://www.upstox.com/stocks/ajooni-biotech-limited-share-price/INE820Y01021/
AKASH INFRA-PROJECTS LTD,https://www.upstox.com/stocks/akash-infra-projects-ltd-share-price/INE737W01013/
AKG EXIM LIMITED,https://www.upstox.com/stocks/akg-exim-limited-share-price/INE00Y801016/
AKI INDIA LIMITED,https://www.upstox.com/stocks/aki-india-limited-share-price/INE642Z01026/
AKIKO GLOBAL SERVICES L,https://www.upstox.com/stocks/akiko-global-services-l-share-price/INE0PMR01017/
AKSHAR SPINTEX LIMITED,https://www.upstox.com/stocks/akshar-spintex-limited-share-price/INE256Z01025/
AKSHARCHEM INDIA LIMITED,https://www.upstox.com/stocks/aksharchem-india-limited-share-price/INE542B01011/
AKSH OPTIFIBRE  LTD,https://www.upstox.com/stocks/aksh-optifibre-ltd-share-price/INE523B01011/
AKUMS DRUGS AND PHARMA L,https://www.upstox.com/stocks/akums-drugs-and-pharma-l-share-price/INE09XN01023/
AKZO NOBEL INDIA LIMITED,https://www.upstox.com/stocks/akzo-nobel-india-limited-share-price/INE133A01011/
ALANKIT LIMITED,https://www.upstox.com/stocks/alankit-limited-share-price/INE914E01040/
ALBERT DAVID LIMITED,https://www.upstox.com/stocks/albert-david-limited-share-price/INE155C01010/
ALEMBIC LIMITED,https://www.upstox.com/stocks/alembic-limited-share-price/INE426A01027/
ALICON CASTALLOY LIMITED,https://www.upstox.com/stocks/alicon-castalloy-limited-share-price/INE062D01024/
ALKALI METALS LTD,https://www.upstox.com/stocks/alkali-metals-ltd-share-price/INE773I01017/
ALKEM LABORATORIES LTD.,https://www.upstox.com/stocks/alkem-laboratories-ltd-share-price/INE540L01014/
ALKYL AMINES CHEM. LTD,https://www.upstox.com/stocks/alkyl-amines-chem-ltd-share-price/INE150B01039/
ALLCARGO LOGISTICS LTD,https://www.upstox.com/stocks/allcargo-logistics-ltd-share-price/INE418H01029/
ALLDIGI TECH LIMITED,https://www.upstox.com/stocks/alldigi-tech-limited-share-price/INE835G01018/
ALMONDZ GLOBAL SEC LTD,https://www.upstox.com/stocks/almondz-global-sec-ltd-share-price/INE326B01035/
ALOK INDUSTRIES LIMITED,https://www.upstox.com/stocks/alok-industries-limited-share-price/INE270A01029/
ALPA LABORATORIES LTD,https://www.upstox.com/stocks/alpa-laboratories-ltd-share-price/INE385I01010/
ALPEX SOLAR LIMITED,https://www.upstox.com/stocks/alpex-solar-limited-share-price/INE0R4701017/
KOTAKMAMC - KOTAKALPHA,https://www.upstox.com/stocks/kotakmamc-kotakalpha-share-price/INF174KA1IA5/
MIRAEAMC - ALPHAETF,https://www.upstox.com/stocks/miraeamc-alphaetf-share-price/INF769K01KU7/
ALPHAGEO (INDIA) LIMITED,https://www.upstox.com/stocks/alphageo-india-limited-share-price/INE137C01018/
ICICIPRAMC - ICICIALPLV,https://www.upstox.com/stocks/icicipramc-icicialplv-share-price/INF109KC17V7/
ALPS INDUSTRIES LTD.,https://www.upstox.com/stocks/alps-industries-ltd-share-price/INE093B01015/
ALUWIND ARCHITECTURAL LTD,https://www.upstox.com/stocks/aluwind-architectural-ltd-share-price/INE0STM01017/
AMBER ENTERPRISES (I) LTD,https://www.upstox.com/stocks/amber-enterprises-i-ltd-share-price/INE371P01015/
AMBEY LABORATORIES LTD,https://www.upstox.com/stocks/ambey-laboratories-ltd-share-price/INE0M3I01029/
AMBICA AGAR & AROMAINDLTD,https://www.upstox.com/stocks/ambica-agar-aromaindltd-share-price/INE792B01012/
AMBIKA COTTON MILL LTD.,https://www.upstox.com/stocks/ambika-cotton-mill-ltd-share-price/INE540G01014/
AMBUJA CEMENTS LTD,https://www.upstox.com/stocks/ambuja-cements-ltd-share-price/INE079A01024/
AMD INDUSTRIES LIMITED,https://www.upstox.com/stocks/amd-industries-limited-share-price/INE005I01014/
AMIABLE LOGISTICS (I) LTD,https://www.upstox.com/stocks/amiable-logistics-i-ltd-share-price/INE0MTP01013/
AMI ORGANICS LIMITED,https://www.upstox.com/stocks/ami-organics-limited-share-price/INE00FF01017/
AMJ LAND HOLDINGS LIMITED,https://www.upstox.com/stocks/amj-land-holdings-limited-share-price/INE606A01024/
AMINES & PLASTICIZERS LTD,https://www.upstox.com/stocks/amines-plasticizers-ltd-share-price/INE275D01022/
AMRUTAJAN HEALTH LTD,https://www.upstox.com/stocks/amrutajan-health-ltd-share-price/INE098F01031/
ANAND RATHI WEALTH LTD,https://www.upstox.com/stocks/anand-rathi-wealth-ltd-share-price/INE463V01026/
ANANT RAJ LIMITED,https://www.upstox.com/stocks/anant-raj-limited-share-price/INE242C01024/
ANDHRA PAPER LIMITED,https://www.upstox.com/stocks/andhra-paper-limited-share-price/INE435A01051/
ANDHRA SUGARS LTD,https://www.upstox.com/stocks/andhra-sugars-ltd-share-price/INE715B01021/
ANGEL ONE LIMITED,https://www.upstox.com/stocks/angel-one-limited-share-price/INE732I01013/
